id,index,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 300848,4,11.57498,4.799592,1.025215,-13.47,132.28,Eucalyptus,tectifica,0,0,-1,0
NSW:NSW:NSW 312005,3,5.175181,1.253583,1.02668,-26.83,119.83,Corymbia,eremaea,0,0,-1,0
NSW:NSW:NSW 302444,1,5.624446,0.5359438,2.265817,-17.38,138.28,Corymbia,capricornia,0,0,-1,0
NSW:NSW:NSW 473380,0,9.70051,2.432863,1.164553,-14.78,127.08,Corymbia,bleeseri,0,0,-1,0
NSW:NSW:NSW 200471,7,0.5498354,0.3412046,1.076877,-33.0,121.65,Eucalyptus,leptamba -- quadrans,0,0,-1,0
NSW:NSW:NSW 352968,2,4.629856,1.159395,1.045835,-33.82,119.8,Eucalyptus,leptocalyx,0,0,-1,0
NSW:NSW:NSW 200470,5,3.856576,1.065389,1.030768,-33.4,122.4,Eucalyptus,quadrans,0,0,-1,0
NSW:NSW:NSW 302001,2,3.712568,0.7914558,1.206274,-25.02,149.75,Corymbia,trachyphloia,0,0,-1,0
NSW:NSW:NSW 308761,4,6.709768,3.530649,1.014161,-29.53,150.58,Eucalyptus,chloroclada,0,0,-1,0
NSW:NSW:NSW 355720,2,4.438001,0.7955895,1.252668,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 200471,9,1.150038,0.1973814,1.076095,-33.0,121.65,Eucalyptus,leptamba -- quadrans,0,0,-1,0
NSW:NSW:NSW 352968,12,3.027129,1.631254,1.07295,-33.82,119.8,Eucalyptus,leptocalyx,0,0,-1,0
NSW:NSW:NSW 301922,1,16.40731,8.33034,1.108477,-14.48,132.3,Corymbia,foelscheana,0,0,-1,0
NSW:NSW:NSW 215325,18,0.619185,0.2044229,1.024963,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 316385,1,11.35397,4.791298,1.027213,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 303754,7,6.234694,1.597796,1.026677,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 328914,2,4.814801,1.197609,1.039544,-33.87,147.77,Eucalyptus,melliodora,0,0,-1,0
NSW:NSW:NSW 304188,1,38.10069,16.9508,1.032581,-17.28,126.63,Eucalyptus,pantoleuca,0,0,-1,0
NSW:NSW:NSW 317087,2,12.08527,4.993689,1.060719,-34.78,150.05,Eucalyptus,cinerea,0,0,-1,0
NSW:NSW:NSW 215325,8,0.6204764,0.1513245,1.050928,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 355830,9,4.390463,0.9585243,1.021139,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355830,10,2.001297,0.5568433,1.028363,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 303754,4,6.389874,1.278914,1.083475,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 370269,0,33.63606,16.52699,1.018768,-17.73,123.57,Corymbia,cadophora,0,0,-1,0
NSW:NSW:NSW 215325,19,0.7794494,0.3679585,1.015872,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 355795,7,11.77448,2.843275,1.094366,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 200470,8,3.568252,0.8510942,1.195638,-33.4,122.4,Eucalyptus,quadrans,0,0,-1,0
NSW:NSW:NSW 355795,8,6.412362,1.890264,1.066619,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 328914,3,10.52004,1.289584,1.631875,-33.87,147.77,Eucalyptus,melliodora,0,0,-1,0
NSW:NSW:NSW 215325,1,1.020933,0.270165,1.066582,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 500253,13,3.91705,0.9351422,1.048684,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 312015,0,9.01587,1.639157,1.097177,-24.63,132.22,Corymbia,chippendalei,0,0,-1,0
NSW:NSW:NSW 355830,18,1.150407,0.3526646,1.072908,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355830,21,0.548503,0.2906591,1.069757,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
